Name,Platform,RatingOutOf20,Publisher,Year,Classification,Genre
assassin's creed,pc,18,ubisoft,2008,+18,adventure
assassin's creed,ps3,18,ubisoft,2007,+18,adventure
assassin's creed: bloodlines,psp,9,ubisoft,2009,+16,action
assassin's creed: brotherhood,pc,18,ubisoft,2011,+18,action
assassin's creed: brotherhood,ps3,18,ubisoft,2010,+18,action
assassin's creed: revelations,pc,17,ubisoft,2011,+18,action
assassin's creed: revelations,ps3,17,ubisoft,2011,+18,action
assassin's creed ii,pc,18,ubisoft,2010,+18,action
assassin's creed ii,ps3,18,ubisoft,2009,+18,action
assassin's creed ii,ps3,14,ubisoft,2009,unknown,action
assassin's creed ii: discovery,ds,13,ubisoft,2009,+16,action
assassin's creed iii,wiiu,18,ubisoft,2012,+18,action
assassin's creed iii,pc,18,ubisoft,2012,+18,action
assassin's creed iii,ps3,18,ubisoft,2012,+18,action
assassin's creed iv: black flag,wiiu,16,ubisoft,2013,+18,action
assassin's creed iv: black flag,pc,16,ubisoft,2013,+18,action
assassin's creed iv: black flag,pc,14,ubisoft,2013,+18,action
assassin's creed iv: black flag,ps4,16,ubisoft,2013,+18,action
assassin's creed iv: black flag,ps4,14,ubisoft,2013,+18,action
assassin's creed iv: black flag,ps3,16,ubisoft,2013,+18,action
assassin's creed iv: black flag,ps3,14,ubisoft,2013,+18,action
assassin's creed: rogue,pc,14,ubisoft,2015,+18,action
assassin's creed: rogue,ps3,14,ubisoft,2014,+18,action
assassin's creed: unity,pc,15,ubisoft,2014,+18,action
assassin's creed: unity,ps4,17,ubisoft,2014,+18,action
astonishia story,psp,11,ubisoft,2006,+12,role-playing
astro boy,ps2,6,sega,2004,+3,action
astro boy: omega factor,gba,15,thq,2003,+3,action
astro boy: the video game,wii,9,d3publisher,2009,+12,action
asura's wrath,ps3,15,capcom,2012,+16,action
atelier ayesha: the alchemist of dusk,ps3,14,tecmo koei,2012,+16,role-playing
atelier escha & logy: alchemists of the dusk sky,ps3,16,tecmo koei,2013,+12,role-playing
atelier iris: eternal mana,ps2,14,tecmo koei,2004,+3,role-playing
atelier shallie: alchemists of the dusk sea,ps3,13,tecmo koei,2014,+12,role-playing
atelier totori: the adventurer of arland,ps3,13,nippon ichi software,2010,+3,role-playing
athens 2004,ps2,14,sony computer entertainment,2004,+3,sports
atomic betty,gba,10,atari,2005,+3,puzzle
atv offroad fury: blazin' trails,psp,9,southpeak games,2005,+3,racing
atv offroad fury 3,ps2,13,southpeak games,2004,+3,racing
atv offroad fury pro,psp,15,sony computer entertainment,2006,+3,racing
piglet's big game,ps2,7,gotham games,2003,+3,platform
piglet's big game,ps2,11,gotham games,2003,+3,platform
make 10: a journey of numbers,ds,15,nintendo,2007,+3,puzzle
avalon code,ds,16,rising star games,2008,+12,role-playing
avatar: the last airbender,wii,11,thq,2006,+3,adventure
avatar: the last airbender,ds,11,thq,2006,+3,adventure
avatar: the last airbender - the burning earth,ds,12,thq,2007,+7,action
avatar: the last airbender - the burning earth,wii,10,thq,2007,+7,action
avatar: the last airbender - the burning earth,ps2,10,thq,2007,+7,action
away: shuffle dungeon,ds,12,majesco entertainment,2008,+7,role-playing
azada,3ds,11,licensed 4u,2012,+7,puzzle
b-17: fortress in the sky,ds,2,dsi games,2007,+7,simulation
b-boy,psp,11,sony computer entertainment,2006,+7,misc
babysitting mania,ds,3,majesco entertainment,2008,+3,simulation
bahamut lagoon,snes,18,squaresoft,1996,+3,role-playing
baja: edge of control,ps3,11,thq,2008,+3,racing
bakugan: battle brawlers,ds,11,activision,2009,+7,action
bakugan: battle brawlers,ps2,11,activision,2009,+7,action
bakugan: battle brawlers,wii,11,activision,2009,+7,action
bakugan: battle brawlers,wii,11,activision,2009,+7,action
bakugan: battle brawlers,ps3,11,activision,2009,+7,action
bakugan: battle brawlers,ps3,11,activision,2009,+7,action
baldur's gate: dark alliance,gba,15,"destination software, inc",2004,+12,role-playing
baldur's gate: dark alliance,ps2,16,virgin interactive,2001,+12,role-playing
baldur's gate: dark alliance ii,ps2,16,interplay,2004,+12,role-playing
balls of fury,wii,5,zoo digital publishing,2007,+12,sports
band hero,wii,16,activision,2009,+12,misc
band hero,ps2,15,activision,2009,+12,misc
band hero,ps3,15,activision,2009,+12,misc
bangai-o spirits,ds,17,d3publisher,2008,+7,shooter
banjo-kazooie,n64,18,nintendo,1998,+3,platform
banjo-kazooie: grunty's revenge,gba,16,thq,2003,+3,platform
banjo-tooie,n64,18,nintendo,2000,unknown,platform
barbarian,ps2,10,titus,2002,+12,fighting
imagine: fashion party,wii,5,ubisoft,2009,+3,simulation
barbie and the magic of pegasus,gba,6,vivendi games,2005,+3,action
barbie horse adventures: blue ribbon race,gba,11,knowledge adventure,2003,+3,sports
barbie horse adventures: wild horse rescue,ps2,11,universal interactive,2003,+3,sports
batman: rise of sin tzu,ps2,10,ubisoft,2003,+3,action
batman: arkham asylum,pc,18,eidos interactive,2009,+16,action
batman: arkham asylum,ps3,18,eidos interactive,2009,+16,action
batman: arkham city,pc,19,warner bros. interactive entertainment,2011,+16,action
batman: arkham city,ps3,19,warner bros. interactive entertainment,2011,+16,action
batman: arkham origins,wiiu,16,warner bros. interactive entertainment,2013,+16,action
batman: arkham origins,pc,16,warner bros. interactive entertainment,2013,+16,action
batman: arkham origins,ps3,16,warner bros. interactive entertainment,2013,+16,action
batman: arkham origins,ps3,15,warner bros. interactive entertainment,2013,+16,action
batman begins,gba,10,electronic arts,2005,+12,action
batman begins,ps2,13,electronic arts,2005,+12,action
batman beyond: return of the joker,n64,6,ubisoft,2000,+3,action
batman: vengeance,gba,12,ubisoft,2001,+3,adventure
batman: vengeance,ps2,14,ubisoft,2001,+3,adventure
battle engine aquila,ps2,14,atari,2003,+7,shooter
battle fantasia,ps3,13,505 games,2008,+12,fighting
battlefield: bad company,ps3,16,electronic arts,2008,+16,shooter
battlefield: bad company 2,ps3,17,electronic arts,2010,+16,shooter
battlefield: bad company 2,pc,17,electronic arts,2010,+16,shooter
battlefield 1942,pc,18,electronic arts,2002,+12,shooter
battlefield 2,pc,18,electronic arts,2005,+16,shooter
battlefield 2: modern combat,ps2,15,electronic arts,2005,+12,shooter
battlefield 2142,pc,15,electronic arts,2006,+16,shooter
battlefield 3,pc,16,electronic arts,2011,+16,shooter
battlefield 3,ps3,15,electronic arts,2011,+16,shooter
battlefield 4,ps3,15,electronic arts,2013,+18,shooter
battlefield 4,pc,16,electronic arts,2013,+18,shooter
battlefield 4,ps4,16,electronic arts,2013,+18,shooter
battleforge,pc,15,electronic arts,2009,+12,strategy
battles of prince of persia,ds,14,ubisoft,2005,+12,strategy
battlestar galactica,ps2,10,vivendi games,2003,+7,shooter
battlestations: midway,pc,11,eidos interactive,2007,+12,strategy
battlestations: pacific,pc,16,eidos interactive,2009,+12,strategy
battletanx: global assault,n64,10,3do,1999,+3,action
bayonetta,ps3,17,sega,2009,+18,action
bayonetta 2,wiiu,19,nintendo,2014,+16,action
summer heat beach volleyball,ps2,14,acclaim entertainment,2003,+3,sports
beat down: fists of vengeance,ps2,11,capcom,2005,+16,action
beaterator,psp,16,take-two interactive,2009,+3,misc
block party,wii,5,activision,2008,+3,misc
bee movie game,ds,10,activision,2007,+3,action
bee movie game,ps2,13,activision,2007,+3,action
bee movie game,wii,9,activision,2007,+3,action
beetle adventure racing!,n64,16,electronic arts,1999,+3,racing
bella sara,ds,13,codemasters,2008,+3,misc
ben 10: alien force,psp,8,koch media,2008,+3,action
ben 10: alien force,ps2,8,koch media,2008,+3,action
ben 10: alien force,wii,8,koch media,2008,+3,action
ben 10: alien force,ds,8,koch media,2008,+3,action
ben 10: protector of earth,psp,9,d3publisher,2007,+7,action
ben 10: protector of earth,wii,9,d3publisher,2007,+7,action
ben 10: protector of earth,ps2,9,d3publisher,2007,+7,action
ben 10: protector of earth,ds,14,d3publisher,2007,+7,action
betty boop's double shift,ds,4,zoo digital publishing,2007,+3,puzzle
beyblade: metal fusion,ds,10,hudson soft,2009,+3,role-playing
beyblade: metal masters,ds,10,konami digital entertainment,2010,+7,action
beyblade vforce: ultimate blader jam,gba,10,atari,2003,+3,action
beyond: two souls,ps3,16,sony computer entertainment,2013,unknown,adventure
beyond good & evil,ps2,18,ubisoft,2003,+7,adventure
big bang mini,ds,16,southpeak games,2009,+7,shooter
big beach sports,wii,9,thq,2008,+3,sports
big mutha truckers,ps2,14,empire interactive,2002,+3,racing
big mutha truckers 2,ps2,10,xplosiv,2005,+12,racing
the hobbit,ps2,13,vivendi games,2003,+7,platform
the hobbit,gba,15,vivendi games,2003,+7,platform
billy the wizard: rocket broomstick racing,wii,1,metro 3d,2007,+3,racing
binary domain,ps3,15,sega,2012,+18,action
bionic commando,ps3,14,capcom,2009,+18,platform
bioshock,ps3,19,take-two interactive,2008,+18,shooter
bioshock,pc,19,take-two interactive,2007,+18,shooter
bioshock 2,ps3,18,take-two interactive,2010,+18,shooter
bioshock infinite,ps3,19,take-two interactive,2013,+18,shooter
bioshock infinite,pc,19,take-two interactive,2013,+18,shooter
birds of steel,ps3,16,konami digital entertainment,2012,+12,simulation
black,ps2,13,electronic arts,2006,+16,shooter
black & bruised,ps2,11,vivendi games,2003,+12,fighting
black & white,pc,18,electronic arts,2001,+3,strategy
black & white 2,pc,16,electronic arts,2005,+12,strategy
blade dancer: lineage of light,psp,12,atari,2006,+12,role-playing
blade ii,ps2,9,activision,2002,+12,action
blades of time,ps3,7,konami digital entertainment,2012,+16,action
bladestorm: the hundred years' war,ps3,9,tecmo koei,2007,+12,action
"blast works: build, trade, destroy",wii,14,eidos interactive,2008,+3,shooter
blazblue: calamity trigger,pc,18,pqube,2010,+12,fighting
blazblue: calamity trigger,ps3,18,pqube,2009,+12,fighting
blazblue: chrono phantasma,ps3,15,arc system works,2013,+12,fighting
blazblue: continuum shift,ps3,18,pqube,2010,+12,fighting
blazblue: continuum shift ii,3ds,12,pqube,2011,+12,fighting
blazblue: continuum shift ii,psp,16,pqube,2011,+12,fighting
blazing angels: squadrons of wwii,ps3,13,ubisoft,2006,+12,simulation
blazing angels: squadrons of wwii,wii,11,ubisoft,2007,+12,simulation
blazing angels: squadrons of wwii,pc,13,ubisoft,2006,+12,simulation
blazing angels 2: secret missions of wwii,ps3,12,ubisoft,2007,+12,simulation
bleach: shattered blade,wii,8,sega,2006,+12,fighting
bleach: the 3rd phantom,ds,12,sega,2008,+12,role-playing
bleach: the blade of fate,ds,17,sega,2006,+12,fighting
blokus portable: steambot championship,psp,11,majesco entertainment,2006,+3,puzzle
blood bowl,pc,17,focus home interactive,2009,+12,sports
blood bowl: legendary edition,pc,17,focus home interactive,2010,+16,sports
blood will tell: tezuka osamu's dororo,ps2,12,sega,2004,+16,adventure
bloodrayne,ps2,13,universal interactive,2002,+16,shooter
bloodrayne 2,ps2,14,thq,2004,+18,shooter
bloody roar 3,ps2,15,virgin interactive,2001,+12,fighting
bloody roar 4,ps2,16,konami digital entertainment,2003,+12,fighting
blue dragon: awakened shadow,ds,13,namco bandai games,2009,+12,role-playing
blue dragon plus,ds,11,ignition entertainment,2008,+7,role-playing
blur,pc,15,activision,2010,+7,racing
blur,ps3,15,activision,2010,+7,racing
bmx xxx,ps2,14,acclaim entertainment,2002,+16,sports
drawn to life,ds,13,thq,2007,+3,action
drawn to life,ds,13,thq,2007,+3,action
spongebob's atlantis squarepantis,ds,9,thq,2007,+3,action
spongebob squigglepants,wii,11,thq,2011,+3,misc
spongebob squarepants: the yellow avenger,psp,10,thq,2006,+7,action
spongebob squarepants: the yellow avenger,ds,11,thq,2005,+7,action
nicktoons: battle for volcano island,ds,10,thq,2006,+7,action
nicktoons: attack of the toybots,wii,8,thq,2007,+3,platform
nicktoons: attack of the toybots,ps2,8,thq,2007,+3,platform
bodycount,ps3,8,codemasters,2011,+16,shooter
boktai: the sun is in your hand,gba,16,konami digital entertainment,2003,+3,role-playing
boktai 2: solar boy django,gba,16,konami digital entertainment,2004,+3,role-playing
bombastic,ps2,11,capcom,2002,+3,puzzle
bomberman,psp,13,konami digital entertainment,2006,+3,puzzle
bomberman,ds,14,ubisoft,2005,+3,puzzle
bomberman 2,ds,14,hudson soft,2008,+7,puzzle
bomberman land,wii,12,rising star games,2007,+3,misc
bomberman land,psp,13,hudson entertainment,2007,+3,misc
bomberman land touch!,ds,16,rising star games,2006,+3,puzzle
bomberman land touch! 2,ds,14,rising star games,2007,+3,puzzle
bomberman max 2: blue advance,gba,12,vivendi games,2002,+3,puzzle
bomberman max 2: red advance,gba,12,vivendi games,2002,+3,puzzle
bomberman story ds,ds,13,rising star games,2007,+3,role-playing
bomberman tournament,gba,17,activision,2001,+3,puzzle
boogie,ps2,8,electronic arts,2007,+3,misc
boogie,ds,8,electronic arts,2007,+3,misc
boogie,wii,8,electronic arts,2007,+3,misc
bookworm deluxe,pc,10,popcap games,2006,+3,puzzle
boom blox,wii,16,electronic arts,2008,+3,puzzle
boom blox bash party,wii,17,electronic arts,2009,+3,puzzle
borderlands 2,ps3,18,take-two interactive,2012,+18,shooter
borderlands 2,pc,18,take-two interactive,2012,+18,shooter
botanicula,pc,17,daedalic entertainment,2012,+3,adventure
boxing fever,gba,10,thq,2001,+12,sports
braid,pc,15,number none,2009,+3,platform
brain assist,ds,5,sega,2007,+3,misc
the italian job,ps2,12,eidos interactive,2003,+3,racing
bratz: forever diamondz,ds,4,thq,2006,+3,adventure
bratz: forever diamondz,ps2,6,thq,2006,+3,adventure
bratz: rock angelz,gba,5,thq,2004,+3,misc
bratz: rock angelz,ps2,9,thq,2005,+3,misc
bratz: super babyz,ds,7,thq,2008,+3,action
bratz: the movie,wii,8,thq,2007,+3,simulation
bratz: the movie,ps2,8,thq,2007,+3,simulation
bravely second: end layer,3ds,16,nintendo,2015,+12,role-playing
breach,pc,10,destineer,2011,+16,shooter
breath of fire,gba,14,ubisoft,2001,unknown,role-playing
breath of fire: dragon quarter,ps2,17,capcom,2002,+12,role-playing
breath of fire ii,snes,17,laguna,1994,+3,role-playing
breath of fire ii,gba,14,ubisoft,2001,+3,role-playing
breath of fire iii,psp,12,capcom,2005,+3,role-playing
brink,ps3,12,bethesda softworks,2011,+16,shooter
brink,pc,13,bethesda softworks,2011,+16,shooter
britney's dance beat,ps2,14,thq,2002,+3,misc
britney's dance beat,gba,6,thq,2002,+3,misc
brothers in arms: hell's highway,pc,15,ubisoft,2008,+18,shooter
brothers in arms: hell's highway,ps3,15,ubisoft,2008,+18,shooter
brunswick pro bowling,ps3,7,505 games,2010,+3,sports
brunswick pro bowling,ps2,7,505 games,2007,+3,sports
brunswick pro bowling,wii,7,505 games,2007,unknown,sports
bubble bobble double shot,ds,10,rising star games,2007,+3,puzzle
bubble bobble evolution,psp,10,rising star games,2006,+3,puzzle
bubble bobble revolution,ds,12,atari,2005,+3,puzzle
buffy the vampire slayer: chaos bleeds,ps2,12,vivendi games,2003,+16,action
buffy the vampire slayer: wrath of the darkhul king,gba,10,thq,2003,+12,action
build-a-bear workshop,ds,6,game factory,2007,unknown,simulation
bujingai: the forsaken city,ps2,15,505 games,2003,+12,fighting
bulletstorm,ps3,16,electronic arts,2011,+18,shooter
bulletstorm,pc,16,electronic arts,2011,+18,shooter
bully: scholarship edition,pc,16,take-two interactive,2008,+16,action
bully: scholarship edition,wii,16,take-two interactive,2008,+16,action
burnout,ps2,15,acclaim entertainment,2001,+3,racing
burnout 2: point of impact,ps2,16,acclaim entertainment,2002,+3,racing
burnout 3: takedown,ps2,17,electronic arts,2004,+3,racing
buzz! junior: jungle party,ps2,9,sony computer entertainment,2006,+3,misc
backyard wrestling: don't try this at home,ps2,8,eidos interactive,2003,+18,fighting
c.o.p.: the recruit,ds,16,ubisoft,2009,+12,action
cabela's adventure camp,wii,8,activision,2011,+3,misc
cabela's big game hunter: pro hunts,wiiu,12,activision,2014,+16,shooter
cabela's big game hunter: pro hunts,ps3,12,activision,2014,+16,shooter
cabela's big game hunter 2010,ps3,14,activision value,2009,+16,sports
cabela's big game hunter 2010,wii,14,activision value,2009,+16,sports
cabela's dangerous hunts 2009,ps3,14,activision value,2008,unknown,sports
cabela's dangerous hunts 2011,ds,15,activision,2010,+16,sports
cabela's dangerous hunts 2011,wii,13,activision,2010,+16,sports
cabela's dangerous hunts 2011,ps3,12,activision,2010,+16,sports
cabela's legendary adventures,wii,12,activision,2008,+16,sports
cabela's survival: shadows of katmai,ps3,12,activision,2011,+16,sports
cabela's survival: shadows of katmai,wii,7,activision,2011,+16,sports
caesar iv,pc,14,vivendi games,2006,+12,strategy
caesars palace advance: millennium gold edition,gba,6,majesco entertainment,2001,+3,misc
cake mania,ds,8,majesco entertainment,2007,+3,puzzle
call of duty: advanced warfare,pc,17,activision,2014,+18,shooter
call of duty: advanced warfare,ps3,17,activision,2014,+18,shooter
call of duty: advanced warfare,ps4,18,activision,2014,+18,shooter
call of duty: black ops,wii,14,activision,2010,+16,shooter
call of duty: black ops,ds,13,activision,2010,+16,shooter
call of duty: black ops,ps3,18,activision,2010,+16,shooter
call of duty: black ops ii,wiiu,17,activision,2012,+18,shooter
call of duty: black ops ii,pc,17,activision,2012,+18,shooter
call of duty: black ops ii,ps3,17,activision,2012,+18,shooter
call of duty: ghosts,wiiu,15,activision,2013,+16,shooter
call of duty: ghosts,pc,15,activision,2013,+16,shooter
call of duty: ghosts,ps4,15,activision,2013,+16,shooter
call of duty: ghosts,ps3,15,activision,2013,+16,shooter
call of duty: finest hour,ps2,13,activision,2004,+16,shooter
call of duty: roads to victory,psp,11,activision,2007,+16,shooter
call of duty: modern warfare 2,pc,16,activision,2009,+16,shooter
call of duty: modern warfare 2,ps3,18,activision,2009,+16,shooter
call of duty: world at war,ds,12,activision,2008,+16,shooter
call of duty: world at war,wii,14,activision,2008,+16,shooter
call of duty: world at war,pc,14,activision,2008,+16,shooter
call of duty: world at war,ps3,14,activision,2008,+16,shooter
call of duty 2,pc,17,activision,2005,+16,shooter
call of duty 3,ps3,14,activision,2006,+16,shooter
call of duty 3,ps2,14,activision,2006,+16,shooter
call of duty 4: modern warfare,ds,12,activision,2007,+16,shooter
call of duty 4: modern warfare,pc,17,activision,2007,+16,shooter
call of duty 4: modern warfare,ps3,17,activision,2007,+16,shooter
call of juarez,pc,12,ubisoft,2006,+18,shooter
call of juarez: bound in blood,ps3,15,ubisoft,2009,+16,shooter
call of juarez: bound in blood,pc,15,ubisoft,2009,+16,shooter
call of juarez: the cartel,pc,8,ubisoft,2011,+18,shooter
call of juarez: the cartel,ps3,9,ubisoft,2011,+18,shooter
calling,wii,13,konami digital entertainment,2009,+12,adventure
bully,ps2,16,take-two interactive,2006,+12,action
capcom classics collection,ps2,12,capcom,2005,+12,misc
capcom fighting evolution,ps2,10,capcom,2004,+12,fighting
captain america: super soldier,3ds,12,sega,2011,+12,action
